"year","composer","title","accompaniment","movements","permalink","trebleclef","minSPN_1","maxSPN_1","minMIDI_1","maxMIDI_1","ambitus_1","minSPN_2","maxSPN_2","minMIDI_2","maxMIDI_2","ambitus_2","minSPN_3","maxSPN_3","minMIDI_3","maxMIDI_3","ambitus_3","minSPN_4","maxSPN_4","minMIDI_4","maxMIDI_4","ambitus_4","minSPN_work","maxSPN_work","minMIDI_work","maxMIDI_work","ambitus_work"
1725,"Platti, Giovanni Benedetto","12 Cello Sonatas (Nr. 10)","continuo",4,"https://imslp.org/wiki/Special:ReverseLookup/102943",,"G2","G4",43,67,24,"Eb2","G4",39,67,28,"Bb2","F4",46,65,19,"G2","G4",43,67,24,"Eb2","G4",39,67,28
1725,"Platti, Giovanni Benedetto","12 Cello Sonatas (Nr. 5)","continuo",4,"https://imslp.org/wiki/Special:ReverseLookup/102943",,"D3","G4",50,67,17,"D2","F#4",38,66,28,"F#2","F#4",42,66,24,"D3","G4",50,67,17,"D2","G4",38,67,29
1725,"Platti, Giovanni Benedetto","12 Cello Sonatas (Nr. 7)","continuo",4,"https://imslp.org/wiki/Special:ReverseLookup/102943",,"G#2","G4",44,67,23,"D2","F#4",38,66,28,"E2","G4",40,67,27,"D2","G4",38,67,29,"D2","G4",38,67,29
1730,"Vivaldi, Antonio","Cello Sonata in A minor, RV 44","continuo",4,"https://imslp.org/wiki/Special:ReverseLookup/569632",,"D3","A4",50,69,19,"F2","A4",41,69,28,"E3","G4",52,67,15,"C2","A4",36,69,33,"C2","A4",36,69,33
1739,"Corrette, Michel","Cello Sonata in F major, Op.20 No.1","continuo",3,"https://imslp.org/wiki/Special:ReverseLookup/835250",,"F2","G4",41,67,26,"C2","G4",36,67,31,"C2","G4",36,67,31,,,,,,"C2","G4",36,67,31
1740,"Barrière, Jean-Baptiste","6 Cello Sonatas, Livre 4 (Nr. 3)","continuo",3,"https://imslp.org/wiki/Special:ReverseLookup/298122",,"E2","A4",40,69,29,"D3","A4",50,69,19,"E2","A4",40,69,29,,,,,,"E2","A4",40,69,29
1740,"Barrière, Jean-Baptiste","6 Cello Sonatas, Livre 4 (Nr. 5)","continuo",3,"https://imslp.org/wiki/Special:ReverseLookup/298122",,"G2","E5",43,76,33,"C2","A4",36,69,33,"A2","A4",45,69,24,,,,,,"C2","E5",36,76,40
1740,"Dall'Abaco, Joseph","12 Cello Sonatas (Nr. 12)","continuo",4,"https://imslp.org/wiki/Special:ReverseLookup/887248",,"F#3","E5",54,76,22,"C2","G5",36,79,43,"D3","D5",50,74,24,"D2","A5",38,81,43,"C2","A5",36,81,45
1740,"Dall'Abaco, Joseph","12 Cello Sonatas (Nr. 8)","continuo",3,"https://imslp.org/wiki/Special:ReverseLookup/887248",,"F#2","D5",42,74,32,"Eb3","Bb4",51,70,19,"F#2","E5",42,76,34,,,,,,"F#2","E5",42,76,34
1756,"Baur, Jean","6 Cello Sonatas, Op.2 (Nr. 1)","continuo",3,"https://imslp.org/wiki/Special:ReverseLookup/166650",,"D2","A4",38,69,31,"E3","A4",52,69,17,"G#2","B4",44,71,27,,,,,,"D2","B4",38,71,33
1760,"Chiabrano, Gaspare Giuseppe Gaetano","Cello Sonata No.2 in C major","continuo",3,"https://imslp.org/wiki/Special:ReverseLookup/545959",,"C2","G4",36,67,31,"C3","F#4",48,66,18,"C2","G4",36,67,31,,,,,,"C2","G4",36,67,31
1765,"Magito, Alexis","6 Cello Sonatas, Op.1 (Nr. 3)","continuo",3,"https://imslp.org/wiki/Special:ReverseLookup/641034",,"D3","B4",50,71,21,"D2","B4",38,71,33,"A2","G4",45,67,22,,,,,,"D2","B4",38,71,33
1766,"Boccherini, Luigi","Cello Sonata in G major, G.5","continuo",3,"https://imslp.org/wiki/Special:ReverseLookup/68662",,"D3","A5",50,81,31,"G2","G5",43,79,36,"G2","D5",43,74,31,,,,,,"G2","A5",43,81,38
1770,"Avondano, Pedro António","Cello Sonata in B-flat major","continuo",3,"https://imslp.org/wiki/Special:ReverseLookup/370519","8vb","F2","G5",41,79,38,"A2","G5",45,79,34,"C3","Eb6",48,87,39,,,,,,"F2","Eb6",41,87,46
1770,"Vandini, Antonio","Cello Sonata in E major, IAV 6","continuo",3,"https://imslp.org/wiki/Special:ReverseLookup/391844","8vb","F#3","C#5",54,73,19,"G#2","E5",44,76,32,"B2","C#5",47,73,26,,,,,,"G#2","E5",44,76,32
1783,"Kraft, Anton","3 Cello Sonatas, Op.2 (Nr. 2)","""bass""",3,"https://imslp.org/wiki/Special:ReverseLookup/410552","8vb","C2","A5",36,81,45,"G2","G5",43,79,36,"C#2","A5",37,81,44,,,,,,"C2","A5",36,81,45
1783,"Kraft, Anton","3 Cello Sonatas, Op.2 (Nr. 3)","""bass""",3,"https://imslp.org/wiki/Special:ReverseLookup/410552","8vb","C2","G5",36,79,43,"G2","A5",43,81,38,"C2","C6",36,84,48,,,,,,"C2","C6",36,84,48
1785,"Fortia de Piles, Alphonse","3 Cello Sonatas, Op.5 (Nr. 1)","continuo",3,"https://imslp.org/wiki/Special:ReverseLookup/166664",,"G2","A4",43,69,26,"C3","A4",48,69,21,"B2","A4",47,69,22,,,,,,"G2","A4",43,69,26
1796,"Beethoven, Ludwig van","Cello Sonata No.2, Op.5 No.2","piano",3,"https://imslp.org/wiki/Special:ReverseLookup/534372","8vb","C2","Bb4",36,70,34,"C2","D5",36,74,38,"C2","E5",36,76,40,,,,,,"C2","E5",36,76,40
1799,"Ries, Ferdinand","Cello Sonata, WoO 2","piano",3,"https://imslp.org/wiki/Special:ReverseLookup/596525","8vb","C2","C5",36,72,36,"C2","Db5",36,73,37,"C2","B4",36,71,35,,,,,,"C2","Db5",36,73,37
1808,"Beethoven, Ludwig van","Cello Sonata No.3, Op.69","piano",3,"https://imslp.org/wiki/Special:ReverseLookup/314760","Loco","C#2","E5",37,76,39,"E2","E5",40,76,36,"C2","F#5",36,78,42,,,,,,"C2","F#5",36,78,42
1808,"Ries, Ferdinand","Cello Sonata, Op.20","piano",3,"https://imslp.org/wiki/Special:ReverseLookup/450514","8vb","C2","D5",36,74,38,"C#2","F4",37,65,28,"C2","C5",36,72,36,,,,,,"C2","D5",36,74,38
1808,"Ries, Ferdinand","Cello Sonata, Op.21","piano",4,"https://imslp.org/wiki/Special:ReverseLookup/450519","8vb","C2","D5",36,74,38,"C#2","C5",37,72,35,"C2","E5",36,76,40,"C2","F5",36,77,41,"C2","F5",36,77,41
1815,"Beethoven, Ludwig van","Cello Sonata No.4, Op.102 No.1","piano",2,"https://imslp.org/wiki/Special:ReverseLookup/314761","Loco","C2","F5",36,77,41,"C2","G5",36,79,43,,,,,,,,,,,"C2","G5",36,79,43
1815,"Beethoven, Ludwig van","Cello Sonata No.5, Op.102 No.2","piano",3,"https://imslp.org/wiki/Special:ReverseLookup/314762",,"C2","B4",36,71,35,"C2","D5",36,74,38,"C#2","C5",37,72,35,,,,,,"C2","D5",36,74,38
1820,"Onslow, George","3 Cello Sonatas, Op.16 (Nr.1)","piano",3,"https://imslp.org/wiki/Special:ReverseLookup/436040","8vb","C2","A5",36,81,45,"D2","Eb5",38,75,37,"C2","Eb5",36,75,39,,,,,,"C2","A5",36,81,45
1823,"Ries, Ferdinand","Cello Sonata, Op.125","piano",3,"https://imslp.org/wiki/Special:ReverseLookup/450681","Loco","C2","D5",36,74,38,"C#2","G5",37,79,42,"C2","F5",36,77,41,,,,,,"C2","G5",36,79,43
1824,"Hummel, Johann Nepomuk","Cello Sonata in A major, Op.104","piano",3,"https://imslp.org/wiki/Special:ReverseLookup/220555",,"C2","E5",36,76,40,"C2","C5",36,72,36,"C2","E5",36,76,40,,,,,,"C2","E5",36,76,40
1826,"Lachner, Franz Paul","Cello Sonata, Op.14","piano",3,"https://imslp.org/wiki/Special:ReverseLookup/113906","Loco","B#1","A5",36,81,45,"E2","E5",40,76,36,"C2","A6",36,93,57,,,,,,"B#1","A6",36,93,57
1838,"Mendelssohn, Felix","Cello Sonata No.1, Op.45","piano",3,"https://imslp.org/wiki/Special:ReverseLookup/854096",,"C2","D5",36,74,38,"C2","G4",36,67,31,"C#2","Bb4",37,70,33,,,,,,"C2","D5",36,74,38
1843,"Mendelssohn, Felix","Cello Sonata No.2, Op.58","piano",4,"https://imslp.org/wiki/Special:ReverseLookup/284216",,"C#2","D5",37,74,37,"C#2","B4",37,71,34,"C2","A4",36,69,33,"C2","F5",36,77,41,"C2","F5",36,77,41
1851,"Moscheles, Ignaz","Cello Sonata, Op.121","piano",4,"https://imslp.org/wiki/Special:ReverseLookup/95381","Loco","C2","E5",36,76,40,"C2","C#5",36,73,37,"C2","E5",36,76,40,"C2","F#5",36,78,42,"C2","F#5",36,78,42
1852,"Bennett, William Sterndale","Sonata Duo for Piano and Cello, Op.32","piano",3,"https://imslp.org/wiki/Special:ReverseLookup/527460","Loco","C2","E5",36,76,40,"E2","E5",40,76,36,"C#2","E5",37,76,39,,,,,,"C2","E5",36,76,40
1858,"Farrenc, Louise","Cello Sonata, Op.46","piano",3,"https://imslp.org/wiki/Special:ReverseLookup/316592",,"C2","D5",36,74,38,"Db2","Bb4",37,70,33,"C2","D5",36,74,38,,,,,,"C2","D5",36,74,38
1859,"Macfarren, Walter","Cello Sonata in E minor","piano",3,"https://imslp.org/wiki/Special:ReverseLookup/30923","Loco","C2","C5",36,72,36,"D2","A4",38,69,31,"C#2","B5",37,83,46,,,,,,"C2","B5",36,83,47
1865,"Brahms, Johannes","Cello Sonata No.1, Op.38","piano",3,"https://imslp.org/wiki/Special:ReverseLookup/84396",,"C2","E5",36,76,40,"C#2","C5",37,72,35,"C2","D#5",36,75,39,,,,,,"C2","E5",36,76,40
1866,"Reinecke, Carl","Cello Sonata No.2, Op.89","piano",3,"https://imslp.org/wiki/Special:ReverseLookup/32736","Loco","C2","F#5",36,78,42,"C#2","B#4",37,72,35,"C2","D5",36,74,38,,,,,,"C2","F#5",36,78,42
1872,"Saint-Saëns, Camille","Cello Sonata No.1, Op.32","piano",3,"https://imslp.org/wiki/Special:ReverseLookup/519333",,"C2","C5",36,72,36,"C2","Cb5",36,71,35,"C2","Bb4",36,70,34,,,,,,"C2","C5",36,72,36
1879,"Lange Jr., Samuel de","Cello Sonata No.1, Op.37","piano",4,"https://imslp.org/wiki/Special:ReverseLookup/479982",,"C2","D5",36,74,38,"C2","C5",36,72,36,"D2","A5",38,81,43,"C2","E5",36,76,40,"C2","A5",36,81,45
1879,"Wailly, Paul de","Cello Sonata in D major","piano",3,"https://imslp.org/wiki/Special:ReverseLookup/558682","Loco","D2","A#4",38,70,32,"C#3","Bb4",49,70,21,"D2","F#5",38,78,40,,,,,,"D2","F#5",38,78,40
1882,"Grieg, Edvard","Cello Sonata, Op.36","piano",3,"https://imslp.org/wiki/Special:ReverseLookup/521601","Loco","C2","G5",36,79,43,"C2","A5",36,81,45,"C2","A5",36,81,45,,,,,,"C2","A5",36,81,45
1888,"Glass, Louis","Cello Sonata, Op.5","piano",3,"https://imslp.org/wiki/Special:ReverseLookup/23986","Loco","C2","Ab5",36,80,44,"Db2","Gb5",37,78,41,"C2","F#5",36,78,42,,,,,,"C2","Ab5",36,80,44
1890,"Emmanuel, Maurice","Cello Sonata","piano",3,"https://imslp.org/wiki/Special:ReverseLookup/133651","Loco","C2","B4",36,71,35,"E2","F#5",40,78,38,"C2","B4",36,71,35,,,,,,"C2","F#5",36,78,42
1892,"Goldmark, Carl","Cello Sonata, Op. 39","piano",3,"https://imslp.org/wiki/Special:ReverseLookup/103682","8vb","C2","C#5",36,73,37,"C#2","D5",37,74,37,"C2","F5",36,77,41,,,,,,"C2","F5",36,77,41
1895,"Peters, Guido","Cello Sonata in F minor","piano",3,"https://imslp.org/wiki/Special:ReverseLookup/418026","Loco","C2","F5",36,77,41,"C2","E5",36,76,40,"C2","Db6",36,85,49,,,,,,"C2","Db6",36,85,49
1903,"Huré, Jean","Cello Sonata in F-sharp minor","piano",1,"https://imslp.org/wiki/Special:ReverseLookup/59809","Loco","B#1","C6",36,84,48,,,,,,,,,,,,,,,,"B#1","C6",36,84,48
1904,"Reger, Max","Cello Sonata No.3, Op.78","piano",4,"https://imslp.org/wiki/Special:ReverseLookup/140060","Loco","C2","B5",36,83,47,"C2","C5",36,72,36,"C2","A5",36,81,45,"C2","A5",36,81,45,"C2","B5",36,83,47
1909,"Schäfer, Dirk","Cello Sonata, Op.13","piano",3,"https://imslp.org/wiki/Special:ReverseLookup/428927","Loco","C2","C6",36,84,48,"D2","G5",38,79,41,"C2","G5",36,79,43,,,,,,"C2","C6",36,84,48
1915,"Debussy, Claude","Cello Sonata","piano",3,"https://imslp.org/wiki/Special:ReverseLookup/917222","Loco","C2","A5",36,81,45,"C2","F5",36,77,41,"C2","G5",36,79,43,,,,,,"C2","A5",36,81,45
1917,"Boulnois, Joseph","Cello Sonata","piano",4,"https://imslp.org/wiki/Special:ReverseLookup/17486","Loco","C2","C6",36,84,48,"C2","Bb5",36,82,46,"C2","B5",36,83,47,"C2","B5",36,83,47,"C2","C6",36,84,48
1920,"Ornstein, Leo","Cello Sonata No.2, SO 613","piano",1,"https://imslp.org/wiki/Special:ReverseLookup/12477","Loco","D#2","C6",39,84,45,,,,,,,,,,,,,,,,"D#2","C6",39,84,45
1923,"Bax, Arnold","Cello Sonata, GP 265","piano",3,"https://imslp.org/wiki/Special:ReverseLookup/991623","Loco","C2","C6",36,84,48,"C2","E5",36,76,40,"C2","A5",36,81,45,,,,,,"C2","C6",36,84,48
1930,"Kochurov, Yury","Cello Sonata, Op.1","piano",3,"https://imslp.org/wiki/Special:ReverseLookup/580765","Loco","C2","F6",36,89,53,"C2","A5",36,81,45,"C2","B5",36,83,47,,,,,,"C2","F6",36,89,53
1932,"Ferroud, Pierre-Octave","Cello Sonata in A","piano",3,"https://imslp.org/wiki/Special:ReverseLookup/17452",,"C2","D5",36,74,38,"C2","D5",36,74,38,"C2","C#5",36,73,37,,,,,,"C2","D5",36,74,38
1938,"Wehrli, Werner","Cello Sonata, Op.47","piano",3,"https://imslp.org/wiki/Special:ReverseLookup/484537",,"C#2","D5",37,74,37,"C#2","D5",37,74,37,"C2","C5",36,72,36,,,,,,"C2","D5",36,74,38
